joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9
8.281463669845834e-05,0.007377695757895708,0.0002923285064753145,-0.015027152374386787,-0.0003234268806409091,-0.0021213884465396404,1.6972615412669256e-05,3.2100011537750106e-08,2.795322870952077e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.061911653727293015,0.06729307770729065,0.03558742627501488,0.03711966797709465,0.06345577538013458,0.05731576308608055,0.08689390867948532,-2.3023089568141586e-07,-4.7923376769176684e-06,-2.013106346130371,2.174999475479126,0.617724597454071,2.1624908447265625,2.4344184398651123,1.9854062795639038,2.6100001335144043,0.019882120192050934,0.024892281740903854
-0.14317050576210022,0.14145204424858093,0.09026417136192322,0.10887506604194641,0.01563228666782379,0.13779811561107635,0.1738216131925583,6.697302978864172e-07,5.787690611214202e-07,-2.1751067638397217,2.175001621246338,2.1570446491241455,2.1740918159484863,-0.9496347904205322,2.366831064224243,2.596379041671753,0.0037802387960255146,0.01475099753588438
-0.21412627398967743,0.21561148762702942,0.15472599864006042,0.175339475274086,-0.07091222703456879,0.21630795300006866,0.2608014643192291,2.7902666488444083e-07,1.7793358608741983e-07,-1.9914506673812866,2.175006151199341,1.7458012104034424,2.0352165699005127,-2.6100008487701416,2.0629172325134277,2.607314348220825,0.0002745124511420727,0.00016478326870128512
-0.2816266119480133,0.28939908742904663,0.21134166419506073,0.22425654530525208,-0.15812794864177704,0.30337223410606384,0.34604719281196594,4.1718323018358205e-07,2.543592074744083e-07,-1.854958415031433,2.175002336502075,1.3927427530288696,1.2388556003570557,-2.607177495956421,2.6069817543029785,2.2258799076080322,0.0006036594859324396,0.0006402528961189091
-0.3476082980632782,0.3633055090904236,0.25909942388534546,0.25483348965644836,-0.2451651394367218,0.38760384917259216,0.4279909133911133,5.005624075238302e-07,-4.895349775324576e-06,-1.9415843486785889,2.175016403198242,1.2469260692596436,0.8617222309112549,-2.608358144760132,2.396455764770508,1.9725583791732788,-0.0028223074041306973,0.00138036347925663
-0.41506555676460266,0.43725457787513733,0.30359983444213867,0.27668315172195435,-0.3320362865924835,0.47088903188705444,0.5149926543235779,6.123608500274713e-07,-1.3213121746957768e-05,-1.9684759378433228,2.1750354766845703,1.2216517925262451,0.7300662398338318,-2.6100854873657227,2.2666077613830566,2.610280752182007,-0.0008754682494327426,0.0020683349575847387
-0.4810120463371277,0.5111741423606873,0.3444630205631256,0.2944835424423218,-0.4186030626296997,0.5578958988189697,0.6018206477165222,1.0132479246749426e-06,-2.0377929104142822e-05,-1.9152791500091553,2.175041437149048,1.1089043617248535,0.622381865978241,-2.5982372760772705,2.578356981277466,2.523867130279541,0.0019820304587483406,0.004054313525557518
-0.5451573133468628,0.5847607851028442,0.3826964199542999,0.3125172555446625,-0.5056861042976379,0.5849235653877258,0.6877411007881165,6.890572308293486e-07,-3.1728930480312556e-05,-1.66742742061615,2.175020217895508,0.8729959726333618,0.6043774485588074,-2.598475217819214,0.3666869103908539,2.3130812644958496,0.0022711774799972773,0.001052002189680934
-0.5455018281936646,0.6588653326034546,0.3646126687526703,0.3355536162853241,-0.5926935076713562,0.5081328749656677,0.7747186422348022,7.593628765789617e-07,-3.686073250719346e-05,0.09212090075016022,2.175013780593872,-0.44879239797592163,0.8148064017295837,-2.5892581939697266,-2.3907129764556885,2.6092827320098877,0.004500644281506538,-0.000710783526301384
